pub_date	title	venue	citation	paper_url
2022	Learned Cardinality Estimation: A Design Space Exploration and a Comparative Evaluation [EA&B]	VLDB 2022	Your Name, You. (2009). @article{sun2021learned,
  title={Learned cardinality estimation: A design space exploration and a comparative evaluation},
  author={Sun, Ji and Zhang, Jintao and Sun, Zhaoyan and Li, Guoliang and Tang, Nan},
  journal={Proceedings of the VLDB Endowment},
  volume={15},
  number={1},
  pages={85--97},
  year={2021},
  publisher={VLDB Endowment}
}	https://vldb.org/pvldb/vol15/p85-li.pdf
